,city,city_ascii,state_id,state_name,lat,lng,population,density,timezone,id
0,New York,New York,NY,New York,40.6943,-73.9249,18680025,10768.0,America/New_York,1840034016
1,Los Angeles,Los Angeles,CA,California,34.1141,-118.4068,12531334,3267.0,America/Los_Angeles,1840020491
2,Chicago,Chicago,IL,Illinois,41.8375,-87.6866,8586888,4576.0,America/Chicago,1840000494
3,Miami,Miami,FL,Florida,25.784,-80.2101,6076316,4945.0,America/New_York,1840015149
4,Dallas,Dallas,TX,Texas,32.7935,-96.7667,5910669,1522.0,America/Chicago,1840019440
5,Houston,Houston,TX,Texas,29.786,-95.3885,5724418,1394.0,America/Chicago,1840020925
6,Philadelphia,Philadelphia,PA,Pennsylvania,40.0077,-75.1339,5540199,4544.0,America/New_York,1840000673
7,Atlanta,Atlanta,GA,Georgia,33.7628,-84.422,5151496,1419.0,America/New_York,1840013660
8,Washington,Washington,DC,District of Columbia,38.9047,-77.0163,5066973,4434.0,America/New_York,1840006060
9,Boston,Boston,MA,Massachusetts,42.3188,-71.0852,4465966,5505.0,America/New_York,1840000455
10,Phoenix,Phoenix,AZ,Arizona,33.5722,-112.0892,4187723,1236.0,America/Phoenix,1840020568
11,Detroit,Detroit,MI,Michigan,42.3834,-83.1024,3731486,1871.0,America/Detroit,1840003971
12,San Francisco,San Francisco,CA,California,37.7558,-122.4449,3557982,7199.0,America/Los_Angeles,1840021543
13,Seattle,Seattle,WA,Washington,47.6211,-122.3244,3530752,3414.0,America/Los_Angeles,1840021117
14,San Diego,San Diego,CA,California,32.8313,-117.1222,3178495,1675.0,America/Los_Angeles,1840021990
15,Minneapolis,Minneapolis,MN,Minnesota,44.9635,-93.2678,2885614,3035.0,America/Chicago,1840007830
16,Tampa,Tampa,FL,Florida,27.9945,-82.4447,2771700,1340.0,America/New_York,1840015982
17,Brooklyn,Brooklyn,NY,New York,40.6501,-73.9496,2736074,15200.0,America/New_York,1840034030
18,Denver,Denver,CO,Colorado,39.762,-104.8758,2709398,1805.0,America/Denver,1840018789
19,Queens,Queens,NY,New York,40.7498,-73.7976,2405464,8503.0,America/New_York,1840034002
20,Baltimore,Baltimore,MD,Maryland,39.3051,-76.6144,2270087,2872.0,America/New_York,1840001592
21,Las Vegas,Las Vegas,NV,Nevada,36.2333,-115.2654,2165405,1754.0,America/Los_Angeles,1840020364
22,St. Louis,St. Louis,MO,Missouri,38.6359,-90.2451,2144317,1905.0,America/Chicago,1840001651
23,Riverside,Riverside,CA,California,33.9381,-117.3949,2112239,1556.0,America/Los_Angeles,1840020551
24,Portland,Portland,OR,Oregon,45.5371,-122.65,2072553,1881.0,America/Los_Angeles,1840019941
25,San Antonio,San Antonio,TX,Texas,29.4632,-98.5238,2036324,1183.0,America/Chicago,1840022220
26,Sacramento,Sacramento,CA,California,38.5677,-121.4685,1882358,1971.0,America/Los_Angeles,1840021491
27,San Juan,San Juan,PR,Puerto Rico,18.3985,-66.061,1854549,2982.0,America/Puerto_Rico,1630035577
28,San Jose,San Jose,CA,California,37.3012,-121.848,1797166,2229.0,America/Los_Angeles,1840021570
29,Orlando,Orlando,FL,Florida,28.4773,-81.337,1792047,994.0,America/New_York,1840015099
30,Cleveland,Cleveland,OH,Ohio,41.4764,-81.6805,1742437,1903.0,America/New_York,1840000596
31,Pittsburgh,Pittsburgh,PA,Pennsylvania,40.4397,-79.9763,1719289,2100.0,America/New_York,1840001254
32,Manhattan,Manhattan,NY,New York,40.7834,-73.9662,1694263,28653.0,America/New_York,1840034000
33,Austin,Austin,TX,Texas,30.3005,-97.7522,1685522,1165.0,America/Chicago,1840019590
34,Cincinnati,Cincinnati,OH,Ohio,39.1413,-84.506,1684800,1501.0,America/New_York,1840003814
35,Indianapolis,Indianapolis,IN,Indiana,39.7771,-86.1458,1636763,928.0,America/Indiana/Indianapolis,1840030084
36,Kansas City,Kansas City,MO,Missouri,39.1238,-94.5541,1602005,602.0,America/Chicago,1840008535
37,Columbus,Columbus,OH,Ohio,39.9862,-82.9855,1547862,1560.0,America/New_York,1840003760
38,Charlotte,Charlotte,NC,North Carolina,35.2083,-80.8303,1526465,1094.0,America/New_York,1840014557
39,Virginia Beach,Virginia Beach,VA,Virginia,36.7335,-76.0435,1475522,711.0,America/New_York,1840003871
